folder	line	cod_nacion	mapping_type	concept_name	suggestion
aceite_de_soja_purificado	2	671610	BROAD	soybean oil 300 MG/ML Injectable Suspension	soybean oil 300 MG/ML Injectable Emulsion 250 ml
aceite_de_soja_purificado	3	692725	BROAD	soybean oil 200 MG/ML Injectable Suspension	soybean oil 200 MG/ML Injectable Emulsion 250 ml
aceite_de_soja_purificado	4	692726	BROAD	soybean oil 200 MG/ML Injectable Suspension	soybean oil 200 MG/ML Injectable Emulsion 500 ml
aceite_de_soja_purificado	5	692727	BROAD	soybean oil 300 MG/ML Injectable Suspension	soybean oil 300 MG/ML Injectable Emulsion 250 ml
aceite_de_soja_purificado	6	787739	BROAD	soybean oil 100 MG/ML Injectable Suspension	soybean oil 100 MG/ML Injectable Emulsion 100 ml
aceite_de_soja_purificado	7	787812	BROAD	soybean oil 100 MG/ML Injectable Suspension	soybean oil 100 MG/ML Injectable Emulsion 250 ml
aceite_de_soja_purificado	8	788000	BROAD	soybean oil 100 MG/ML Injectable Suspension	soybean oil 100 MG/ML Injectable Emulsion 500 ml
aceite_de_soja_purificado	9	788042	BROAD	soybean oil 200 MG/ML Injectable Suspension	soybean oil 200 MG/ML Injectable Emulsion 100 ml
aceite_de_soja_purificado	10	788265	BROAD	soybean oil 200 MG/ML Injectable Suspension	soybean oil 200 MG/ML Injectable Emulsion 250 ml
aceite_de_soja_purificado	11	788356	BROAD	soybean oil 200 MG/ML Injectable Suspension	soybean oil 200 MG/ML Injectable Emulsion 500 ml
glucosa_+_sodio_cloruro_+_potasio_cloruro	2	605384	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	3	605385	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	4	606841	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	5	606842	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	6	606843	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	7	606844	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	8	607776	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	9	716778	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	10	716780	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	11	695693	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	12	695694	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	13	695696	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	14	695697	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	15	716781	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
glucosa_+_sodio_cloruro_+_potasio_cloruro	16	716782	BROAD	glucose / potassium chloride / sodium chloride Injection	glucose / sodium chloride / potassium chloride Injection matching the labeled concentrations and volume
dioxido_de_carbono	2	764098	BROAD	carbon dioxide 100 % Gas for Inhalation	carbon dioxide 100% Medicinal Gas
dioxido_de_carbono	3	764102	BROAD	carbon dioxide 100 % Gas for Inhalation	carbon dioxide 100% Medicinal Gas
dioxido_de_carbono	4	764103	BROAD	carbon dioxide 100 % Gas for Inhalation	carbon dioxide 100% Medicinal Gas
dioxido_de_carbono	5	764105	BROAD	carbon dioxide 100 % Gas for Inhalation	carbon dioxide 100% Medicinal Gas
dioxido_de_carbono	6	764106	BROAD	carbon dioxide 100 % Gas for Inhalation	carbon dioxide 100% Medicinal Gas
dioxido_de_carbono	7	764107	BROAD	carbon dioxide 100 % Gas for Inhalation	carbon dioxide 100% Medicinal Gas
monoxido_de_carbono_+_helio	2	722100	BROAD	carbon monoxide / helium / nitrogen / oxygen Gas for Inhalation	carbon monoxide / helium / balance air Gas for Inhalation matching the labeled percentages
monoxido_de_carbono_+_helio	3	722101	BROAD	carbon monoxide / helium / nitrogen / oxygen Gas for Inhalation	carbon monoxide / helium / balance air Gas for Inhalation matching the labeled percentages
monoxido_de_carbono_+_helio	4	722102	BROAD	carbon monoxide / helium / nitrogen / oxygen Gas for Inhalation	carbon monoxide / helium / balance air Gas for Inhalation matching the labeled percentages
monoxido_de_carbono_+_helio	5	722103	BROAD	carbon monoxide / helium / nitrogen / oxygen Gas for Inhalation	carbon monoxide / helium / balance air Gas for Inhalation matching the labeled percentages
monoxido_de_carbono_+_helio	6	710373	BROAD	carbon monoxide / helium / nitrogen / oxygen Gas for Inhalation	carbon monoxide / helium / balance air Gas for Inhalation matching the labeled percentages
