ma_number	concept_id	concept_name	concept_code	mapping_type	ema_active_substance	pdf_strength	pdf_pharmaceutical_form	pdf_route_of_administration	pdf_packaging	pdf_content	pdf_pack_size	pdf_product_name	ema_name_of_medicine	ema_product_number	ema_atc_code	comment	suggestion	last_updated_date
EU/1/95/001/021	1543003	follitropin alfa 600 UNT/ML Injectable Solution	351125	EXACT	follitropin alfa	1050 IU/1.75 ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder: 80 µg; solvent: 2 ml (40 µg/ml)	1 vial + 1 pre-filled syringe + 15 disposable syringes	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05			2026-03-11
EU/1/95/001/025	1543009	follitropin alfa 75 UNT Injection	562724	EXACT	follitropin alfa	75 IU	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder: 5 µg; solvent: 1 ml (5 µg/ml)	1 vial + 1 pre-filled syringe	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05			2025-12-04
EU/1/95/001/026	1543009	follitropin alfa 75 UNT Injection	562724	EXACT	follitropin alfa	75 IU	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder: 5 µg; solvent: 1 ml (5 µg/ml)	5 vials + 5 pre-filled syringes	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05			2025-12-04
EU/1/95/001/027	1543009	follitropin alfa 75 UNT Injection	562724	EXACT	follitropin alfa	75 IU	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder: 5 µg; solvent: 1 ml (5 µg/ml)	10 vials + 10 pre-filled syringes	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05			2025-12-04
EU/1/95/001/031	1543003	follitropin alfa 600 UNT/ML Injectable Solution	351125	EXACT	follitropin alfa	450 IU/0.75 ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder: 40 µg; solvent: 1 ml (40 µg/ml)	1 vial + 1 pre-filled syringe + 6 disposable syringes	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05			2026-03-11
EU/1/95/001/033	46234179	0.48 ML follitropin alfa 625 UNT/ML Pen Injector	1654171	EXACT	follitropin alfa	300 IU/0.48 ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	0.48 ml	1 pre-filled pen + 8 needles	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05			2026-03-11
EU/1/95/001/034	46234185	0.72 ML follitropin alfa 625 UNT/ML Pen Injector	1654179	EXACT	follitropin alfa	450 IU/0.72 ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	0.72 ml	1 pre-filled pen + 12 needles	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05			2026-03-11
EU/1/95/001/035	46234188	1.44 ML follitropin alfa 625 UNT/ML Pen Injector	1654184	EXACT	follitropin alfa	900 IU/1.44 ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	1.44 ml	1 pre-filled pen + 16 needles	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05			2026-03-11
EU/1/95/001/036	46234182	follitropin alfa 625 UNT/ML Pen Injector [Gonal F]	1654175	BROAD	follitropin alfa	150 IU/0.24 ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	0.24 ml	1 pre-filled pen + 4 needles	GONAL-f	GONAL-f	EMEA/H/C/000071	G03GA05		0.24 ML follitropin alfa 625 UNT/ML Pen Injector	2026-03-11
EU/1/95/002/001	21157466	0.5 ML docetaxel 40 MG/ML Injection [Taxotere]	OMOP286806	EXACT	docetaxel	20 mg/0.5 ml	Concentrate and solvent for solution for infusion		(glass); solvent: vial (glass)	solvent: 1.5 ml		taxotere	Taxotere	EMEA/H/C/000073	L01CD02			2025-12-04
