folder	issue	cod_nacion
gadoteridol	INCONSISTENT_CONCEPT	691501
gadoteridol	INCONSISTENT_CONCEPT	720797
citarabina	INCONSISTENT_CONCEPT	682432
citarabina	INCONSISTENT_CONCEPT	725700
procaina	INCONSISTENT_CONCEPT	630780
procaina	INCONSISTENT_CONCEPT	630806
procaina	INCONSISTENT_CONCEPT	656666
procaina	INCONSISTENT_CONCEPT	656667
miglustat	INCONSISTENT_CONCEPT	703390
miglustat	INCONSISTENT_CONCEPT	728859
miglustat	INCONSISTENT_CONCEPT	731122
miglustat	INCONSISTENT_CONCEPT	737612
dienogest_+_estradiol	INCONSISTENT_CONCEPT	662131
dienogest_+_estradiol	INCONSISTENT_CONCEPT	662132
dienogest_+_estradiol	INCONSISTENT_CONCEPT	766981
dienogest_+_estradiol	INCONSISTENT_CONCEPT	766982
lidocaina	INCONSISTENT_CONCEPT	600692
lidocaina	INCONSISTENT_CONCEPT	602916
lidocaina	INCONSISTENT_CONCEPT	602917
lidocaina	INCONSISTENT_CONCEPT	607183
lidocaina	INCONSISTENT_CONCEPT	607185
lidocaina	INCONSISTENT_CONCEPT	645598
amoxicilina	INCONSISTENT_CONCEPT	694050
amoxicilina	INCONSISTENT_CONCEPT	694098
amoxicilina	INCONSISTENT_CONCEPT	694516
amoxicilina	INCONSISTENT_CONCEPT	694517
ranibizumab	REVIEW_VOLUME	658407
ranibizumab	REVIEW_VOLUME	704876
ranibizumab	REVIEW_VOLUME	758336
vareniclina	INCONSISTENT_TYPE	656179
vareniclina	INCONSISTENT_TYPE	697863
vareniclina	INCONSISTENT_TYPE	660968
vareniclina	INCONSISTENT_TYPE	693210
vareniclina	INCONSISTENT_TYPE	697864
solucion_de_ringer	INCONSISTENT_TYPE	607439
solucion_de_ringer	INCONSISTENT_TYPE	637074
solucion_de_ringer	INCONSISTENT_TYPE	633974
terlipresina	INCONSISTENT_TYPE	705045
terlipresina	INCONSISTENT_TYPE	700391
fibrinogeno_humano_+_trombina_humana	INCONSISTENT_CONCEPT	650310
fibrinogeno_humano_+_trombina_humana	INCONSISTENT_CONCEPT	650311
